"Termin";"Temperatur-Mittel";"Min.Temp. 5cm";"Max. Temp.";"Min. Temp.";"Niederschlag";"Niederschl. Ind";"Gesamtschnee";"Luftdruck";"Luftfeuchte";"Dampfdruck";"Luftdruck red";"Sonnenschein";"Bewoelkung";"Wind-Mittel";"Maximum Windspitze";"Qualitaet";"Klimaeinschaetzung";"Schneefallgrenze";"Grosswetterlage"
"01.04.1990";"12,3";"2,4";"19,7";"3,8";"0,0";"0";"0";"959,2";"66,0";"8,60";"1020,9";"10,6";"0,0";"1,1";"3,6";"10";"sommerlich";"";"BM"
"02.04.1990";"14,1";"5,0";"20,1";"7,4";"0,0";"0";"0";"946,3";"52,0";"8,00";"1006,8";"10,5";"2,0";"1,1";"6,2";"10";"sommerlich";"";"BM"
"03.04.1990";"10,5";"6,9";"17,1";"7,6";"6,2";"8";"0";"941,9";"58,0";"7,50";"1002,9";"4,3";"6,0";"3,2";"15,2";"10";"ausgeprägt frühlingshaft";"1269";"TRW"
"04.04.1990";"4,6";"1,9";"7,7";"2,4";"0,3";"6";"0";"951,2";"71,0";"5,90";"1014,2";"1,7";"7,0";"2,2";"6,7";"10";"vorfrühlingshaft";"595";"TRW"
"05.04.1990";"4,1";"2,4";"5,3";"3,4";"2,0";"6";"0";"952,0";"89,0";"7,40";"1015,1";"0,0";"8,0";"1,8";"6,7";"10";"vorfrühlingshaft";"715";"TRW"
"06.04.1990";"6,3";"2,6";"8,4";"3,1";"0,1";"6";"0";"945,7";"81,0";"7,50";"1007,9";"0,3";"7,7";"2,1";"8,7";"10";"vorfrühlingshaft";"962";"TRW"
"07.04.1990";"3,7";"5,5";"7,3";"1,8";"13,1";"8";"0";"943,0";"92,0";"7,80";"1005,6";"0,0";"8,0";"1,8";"6,2";"10";"vorfrühlingshaft";"695";"U"
"08.04.1990";"3,3";"1,0";"5,2";"1,2";"0,8";"8";"0";"950,4";"86,0";"6,70";"1013,6";"0,0";"7,7";"2,1";"12,3";"10";"vorfrühlingshaft";"569";"BM"
"09.04.1990";"4,4";"0,4";"6,8";"0,4";"0,0";"6";"0";"946,4";"62,0";"5,20";"1009,2";"2,8";"7,3";"2,9";"12,3";"10";"vorfrühlingshaft";"474";"BM"
"10.04.1990";"6,2";"3,1";"11,2";"3,3";"1,2";"8";"0";"946,1";"55,0";"5,00";"1008,4";"9,1";"3,3";"2,1";"8,2";"10";"ausgeprägt frühlingshaft";"628";"BM"
"11.04.1990";"3,8";"1,5";"5,8";"1,4";"13,1";"8";"0";"945,6";"90,0";"7,20";"1008,4";"0,1";"8,0";"3,8";"15,5";"10";"vorfrühlingshaft";"687";"BM"
"12.04.1990";"3,9";"1,4";"7,7";"2,0";"1,5";"8";"0";"953,0";"79,0";"6,40";"1016,3";"2,6";"4,7";"1,8";"8,2";"10";"andeutungsweise frühlingshaft";"581";"BM"
"13.04.1990";"8,3";"-0,6";"13,3";"0,4";"0,0";"0";"0";"951,5";"62,0";"6,60";"1013,7";"7,0";"2,7";"1,5";"6,5";"10";"ausgeprägt frühlingshaft";"";"BM"
"14.04.1990";"7,2";"1,2";"16,5";"3,2";"3,4";"6";"0";"949,5";"67,0";"7,10";"1011,8";"7,3";"6,3";"2,1";"14,0";"10";"frühlingshaft";"914";"WW"
"15.04.1990";"5,8";"2,9";"8,2";"3,3";"0,6";"6";"0";"947,2";"79,0";"7,40";"1009,6";"1,0";"7,0";"3,1";"13,4";"10";"vorfrühlingshaft";"861";"WW"
"16.04.1990";"6,6";"2,4";"10,4";"3,4";"0,5";"8";"0";"954,7";"66,0";"6,40";"1017,5";"8,2";"3,7";"3,2";"11,3";"10";"ausgeprägt frühlingshaft";"812";"WW"
"17.04.1990";"8,0";"2,2";"12,3";"3,4";"3,5";"8";"0";"954,4";"60,0";"6,40";"1016,8";"6,9";"4,7";"2,2";"9,3";"10";"ausgeprägt frühlingshaft";"929";"WW"
"18.04.1990";"3,4";"0,6";"6,8";"1,2";"9,4";"8";"0";"952,5";"95,0";"7,30";"1015,8";"0,0";"8,0";"1,9";"6,2";"10";"vorfrühlingshaft";"671";"WW"
"19.04.1990";"4,2";"2,5";"5,6";"2,7";"3,9";"6";"0";"947,5";"94,0";"7,70";"1010,3";"0,0";"8,0";"2,4";"6,2";"10";"vorfrühlingshaft";"788";"WW"
"20.04.1990";"9,2";"1,8";"14,4";"2,6";"0,0";"0";"0";"942,3";"65,0";"7,10";"1003,6";"7,1";"6,0";"2,6";"14,4";"10";"ausgeprägt frühlingshaft";"";"TM"
"21.04.1990";"10,6";"4,8";"15,8";"6,2";"10,9";"8";"0";"941,8";"68,0";"8,40";"1002,8";"9,5";"5,0";"2,0";"10,3";"10";"frühlingshaft";"1450";"TM"
"22.04.1990";"9,8";"6,7";"15,0";"6,9";"1,4";"6";"0";"944,1";"77,0";"9,20";"1005,4";"4,1";"7,0";"1,8";"6,7";"10";"ausgeprägt frühlingshaft";"1463";"TM"
"23.04.1990";"7,9";"4,6";"10,2";"5,7";"3,9";"6";"0";"942,8";"85,0";"9,20";"1004,4";"0,0";"8,0";"2,1";"11,3";"10";"andeutungsweise frühlingshaft";"1271";"TM"
"24.04.1990";"8,8";"6,0";"12,1";"6,8";"7,7";"6";"0";"947,3";"80,0";"9,00";"1009,0";"2,5";"6,7";"3,1";"10,3";"10";"andeutungsweise frühlingshaft";"1341";"TM"
"25.04.1990";"8,1";"6,9";"11,0";"7,8";"1,9";"6";"0";"951,6";"86,0";"9,40";"1013,7";"0,1";"7,0";"2,9";"9,3";"10";"andeutungsweise frühlingshaft";"1307";"TM"
"26.04.1990";"9,2";"5,6";"14,3";"6,4";"0,4";"6";"0";"955,1";"77,0";"9,10";"1017,2";"4,1";"6,3";"2,3";"10,8";"10";"ausgeprägt frühlingshaft";"1352";"BM"
"27.04.1990";"8,6";"5,2";"13,6";"6,3";"1,8";"6";"0";"957,0";"77,0";"8,90";"1019,4";"1,5";"7,0";"4,1";"17,0";"10";"andeutungsweise frühlingshaft";"1254";"BM"
"28.04.1990";"7,7";"5,3";"11,9";"5,5";"0,1";"6";"0";"962,2";"60,0";"6,20";"1025,2";"5,6";"4,7";"2,1";"7,2";"10";"ausgeprägt frühlingshaft";"881";"BM"
"29.04.1990";"10,6";"2,8";"15,0";"4,4";"0,0";"0";"0";"963,1";"48,0";"6,10";"1025,5";"12,8";"1,0";"1,9";"6,7";"10";"frühlingshaft";"";"HM"
"30.04.1990";"13,7";"2,6";"17,8";"4,0";"0,0";"0";"0";"963,2";"53,0";"8,20";"1024,9";"12,1";"2,7";"1,2";"7,0";"10";"sommerlich";"";"HM"
"01.05.1990";"16,4";"6,2";"21,3";"8,8";"0,0";"0";"0";"965,1";"54,0";"9,40";"1026,3";"12,6";"0,7";"1,2";"8,1";"10";"sommerlich";"";"HM"
"02.05.1990";"17,4";"11,8";"21,9";"11,8";"0,0";"0";"0";"967,3";"53,0";"10,20";"1028,4";"12,5";"0,7";"2,3";"11,3";"10";"sommerlich";"";"HM"
"03.05.1990";"15,0";"9,0";"19,3";"10,2";"0,0";"0";"0";"964,8";"46,0";"7,70";"1026,3";"12,8";"0,7";"3,0";"12,9";"10";"sommerlich";"";"HM"
"04.05.1990";"17,4";"8,0";"21,6";"9,6";"0,0";"0";"0";"960,5";"50,0";"9,60";"1021,2";"12,9";"1,3";"3,6";"13,1";"10";"sommerlich";"";"HM"
"05.05.1990";"18,5";"9,4";"23,3";"12,4";"0,0";"0";"0";"956,8";"46,0";"9,60";"1017,0";"13,0";"0,3";"2,1";"10,7";"10";"sommerlich";"";"HM"
"06.05.1990";"16,4";"8,2";"23,6";"10,7";"0,0";"6";"0";"954,8";"58,0";"10,80";"1015,3";"7,6";"5,0";"1,1";"11,3";"10";"sommerlich";"2193";"HM"
"07.05.1990";"15,6";"9,2";"22,5";"11,4";"4,6";"6";"0";"953,7";"68,0";"12,10";"1014,3";"6,6";"5,3";"1,5";"14,4";"10";"sommerlich";"2286";"HM"
"08.05.1990";"14,8";"10,5";"19,8";"11,6";"2,1";"6";"0";"954,4";"74,0";"12,50";"1015,2";"5,2";"5,7";"1,1";"9,0";"10";"frühlingshaft";"2270";"HNZ"
"09.05.1990";"17,3";"8,8";"22,7";"10,6";"0,7";"6";"0";"953,8";"64,0";"12,30";"1014,0";"9,1";"5,7";"1,4";"8,7";"10";"sommerlich";"2503";"HNZ"
"10.05.1990";"16,7";"10,3";"23,5";"12,4";"3,4";"6";"0";"952,1";"66,0";"12,60";"1012,3";"10,9";"3,7";"1,2";"10,3";"10";"sommerlich";"2444";"HNZ"
"11.05.1990";"13,1";"11,7";"18,3";"11,4";"7,6";"6";"0";"950,4";"82,0";"12,70";"1011,3";"1,6";"7,7";"2,2";"9,0";"10";"frühlingshaft";"2122";"HNZ"
"12.05.1990";"13,8";"9,2";"18,2";"9,6";"0,0";"6";"0";"948,7";"70,0";"10,80";"1009,3";"7,1";"3,7";"1,9";"15,8";"10";"frühlingshaft";"2013";"HNZ"
"13.05.1990";"15,4";"8,2";"21,2";"10,2";"6,3";"6";"0";"950,2";"67,0";"11,90";"1010,6";"6,6";"4,0";"1,5";"10,3";"10";"sommerlich";"2232";"HNZ"
"14.05.1990";"16,4";"11,4";"20,4";"12,1";"3,2";"6";"0";"953,2";"70,0";"12,50";"1013,5";"5,1";"5,7";"1,1";"5,1";"10";"frühlingshaft";"2483";"HNZ"
"15.05.1990";"16,2";"13,3";"21,3";"12,9";"0,1";"6";"0";"955,8";"74,0";"13,50";"1016,3";"4,9";"5,7";"1,4";"8,2";"10";"sommerlich";"2535";"HNA"
"16.05.1990";"19,2";"11,9";"24,2";"12,9";"1,3";"6";"0";"956,0";"52,0";"11,30";"1016,0";"11,5";"3,0";"1,7";"7,8";"10";"sommerlich";"2521";"HNA"
